"Pressure","VMAG","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00010828,0.12977,-0.12975,0.0019137,0,1,0.233,0.5,0.233,0
7.0571e-05,0.13025,-0.13023,0.0019539,0,1,0.234,0.5,0.234,0
3.0779e-05,0.13074,-0.13072,0.0019976,0,1,0.235,0.5,0.235,0
-1.0263e-05,0.13122,-0.1312,0.0020433,0,1,0.236,0.5,0.236,0
-5.1305e-05,0.1317,-0.13168,0.002089,0,1,0.237,0.5,0.237,0
-9.2347e-05,0.13218,-0.13216,0.0021347,0,1,0.238,0.5,0.238,0
-0.00013339,0.13267,-0.13264,0.0021804,0,1,0.239,0.5,0.239,0
-0.00017443,0.13315,-0.13312,0.0022261,0,1,0.24,0.5,0.24,0
-0.00021547,0.13363,-0.1336,0.0022718,0,1,0.241,0.5,0.241,0
-0.00025651,0.13411,-0.13409,0.0023175,0,1,0.242,0.5,0.242,0
-0.00030042,0.13459,-0.13457,0.0023681,0,1,0.243,0.5,0.243,0
-0.00034498,0.13507,-0.13504,0.0024197,0,1,0.244,0.5,0.244,0
-0.00038954,0.13555,-0.13552,0.0024713,0,1,0.245,0.5,0.245,0
-0.0004341,0.13603,-0.136,0.0025229,0,1,0.246,0.5,0.246,0
-0.00047866,0.13651,-0.13648,0.0025745,0,1,0.247,0.5,0.247,0
-0.00052323,0.13699,-0.13696,0.0026261,0,1,0.248,0.5,0.248,0
-0.00056779,0.13747,-0.13744,0.0026777,0,1,0.249,0.5,0.249,0
-0.00061235,0.13795,-0.13792,0.0027293,0,1,0.25,0.5,0.25,0
-0.00066064,0.13843,-0.1384,0.0027873,0,1,0.251,0.5,0.251,0
-0.00070893,0.13891,-0.13887,0.0028452,0,1,0.252,0.5,0.252,0
-0.00075722,0.13939,-0.13935,0.0029032,0,1,0.253,0.5,0.253,0
-0.0008055,0.13986,-0.13983,0.0029611,0,1,0.254,0.5,0.254,0
-0.00085379,0.14034,-0.1403,0.0030191,0,1,0.255,0.5,0.255,0
-0.00090208,0.14082,-0.14078,0.003077,0,1,0.256,0.5,0.256,0
-0.00095037,0.1413,-0.14126,0.003135,0,1,0.257,0.5,0.257,0
-0.0009994,0.14177,-0.14173,0.0031942,0,1,0.258,0.5,0.258,0
-0.0010516,0.14225,-0.1422,0.0032589,0,1,0.259,0.5,0.259,0
-0.0011039,0.14272,-0.14268,0.0033236,0,1,0.26,0.5,0.26,0
-0.0011561,0.1432,-0.14315,0.0033883,0,1,0.261,0.5,0.261,0
-0.0012083,0.14367,-0.14362,0.003453,0,1,0.262,0.5,0.262,0
-0.0012605,0.14415,-0.1441,0.0035177,0,1,0.263,0.5,0.263,0
-0.0013128,0.14462,-0.14457,0.0035823,0,1,0.264,0.5,0.264,0
-0.001365,0.1451,-0.14504,0.003647,0,1,0.265,0.5,0.265,0
-0.0014188,0.14557,-0.14552,0.0037144,0,1,0.266,0.5,0.266,0
-0.0014752,0.14604,-0.14599,0.0037863,0,1,0.267,0.5,0.267,0
-0.0015315,0.14651,-0.14646,0.0038582,0,1,0.268,0.5,0.268,0
-0.0015879,0.14699,-0.14693,0.00393,0,1,0.269,0.5,0.269,0
-0.0016443,0.14746,-0.14739,0.0040019,0,1,0.27,0.5,0.27,0
-0.0017007,0.14793,-0.14786,0.0040738,0,1,0.271,0.5,0.271,0
-0.001757,0.1484,-0.14833,0.0041457,0,1,0.272,0.5,0.272,0
-0.0018134,0.14887,-0.1488,0.0042175,0,1,0.273,0.5,0.273,0
