"Pressure","VMAG","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0075882,0.072764,-0.0090267,-0.072192,0,1,0.964,0.964,0.5,0
-0.0077106,0.070726,-0.0085647,-0.070196,0,1,0.965,0.965,0.5,0
-0.007833,0.068689,-0.0081028,-0.068199,0,1,0.966,0.966,0.5,0
-0.0079554,0.066651,-0.0076408,-0.066203,0,1,0.967,0.967,0.5,0
-0.0080779,0.064614,-0.0071789,-0.064207,0,1,0.968,0.968,0.5,0
-0.0082016,0.062576,-0.0067409,-0.062206,0,1,0.969,0.969,0.5,0
-0.0083291,0.060537,-0.006375,-0.060194,0,1,0.97,0.97,0.5,0
-0.0084566,0.058498,-0.0060092,-0.058181,0,1,0.971,0.971,0.5,0
-0.0085841,0.056459,-0.0056433,-0.056168,0,1,0.972,0.972,0.5,0
-0.0087117,0.05442,-0.0052775,-0.054155,0,1,0.973,0.973,0.5,0
-0.0088392,0.052381,-0.0049116,-0.052142,0,1,0.974,0.974,0.5,0
-0.0089667,0.050342,-0.0045458,-0.05013,0,1,0.975,0.975,0.5,0
-0.0090942,0.048303,-0.0041799,-0.048117,0,1,0.976,0.976,0.5,0
-0.0092237,0.046267,-0.003858,-0.046102,0,1,0.977,0.977,0.5,0
-0.0093556,0.044236,-0.0035925,-0.044085,0,1,0.978,0.978,0.5,0
-0.0094875,0.042205,-0.003327,-0.042069,0,1,0.979,0.979,0.5,0
-0.0096194,0.040174,-0.0030615,-0.040052,0,1,0.98,0.98,0.5,0
-0.0097513,0.038143,-0.002796,-0.038035,0,1,0.981,0.981,0.5,0
-0.0098832,0.036112,-0.0025305,-0.036018,0,1,0.982,0.982,0.5,0
-0.010015,0.034081,-0.002265,-0.034001,0,1,0.983,0.983,0.5,0
-0.010147,0.03205,-0.0019995,-0.031985,0,1,0.984,0.984,0.5,0
-0.010281,0.030029,-0.0017991,-0.029973,0,1,0.985,0.985,0.5,0
-0.010417,0.028015,-0.0016376,-0.027964,0,1,0.986,0.986,0.5,0
-0.010553,0.026,-0.0014762,-0.025956,0,1,0.987,0.987,0.5,0
-0.010688,0.023986,-0.0013148,-0.023947,0,1,0.988,0.988,0.5,0
-0.010824,0.021971,-0.0011533,-0.021939,0,1,0.989,0.989,0.5,0
-0.01096,0.019957,-0.00099187,-0.01993,0,1,0.99,0.99,0.5,0
-0.011096,0.017942,-0.00083043,-0.017922,0,1,0.991,0.991,0.5,0
-0.011231,0.015928,-0.00066899,-0.015913,0,1,0.992,0.992,0.5,0
-0.011313,0.014736,-0.00059461,-0.014723,0,1,0.993,0.993,0.5,0
-0.011381,0.013734,-0.00054032,-0.013722,0,1,0.994,0.994,0.5,0
-0.01145,0.012732,-0.00048603,-0.012722,0,1,0.995,0.995,0.5,0
-0.011519,0.011729,-0.00043174,-0.011721,0,1,0.996,0.996,0.5,0
-0.011587,0.010727,-0.00037746,-0.01072,0,1,0.997,0.997,0.5,0
-0.011656,0.0097252,-0.00032317,-0.0097195,0,1,0.998,0.998,0.5,0
-0.011725,0.0087232,-0.00026888,-0.0087188,0,1,0.999,0.999,0.5,0
-0.011794,0.0077211,-0.00021459,-0.0077181,0,1,1,1,0.5,0
